Time,1,2,3
123.873084,-5738.425939,-36812.905885,-29512.957276
123.877112,-5739.427297,-36814.670183,-29513.291063
123.881140,-5739.618032,-36816.529848,-29513.004960
123.885168,-5737.186162,-36815.433123,-29511.479081
123.889196,-5736.852376,-36814.479448,-29509.380997
123.893224,-5735.040395,-36812.619783,-29508.236588
123.897252,-5733.466832,-36809.663392,-29507.712067
123.901280,-5731.702534,-36808.852769,-29507.902802
123.905308,-5732.227055,-36809.234239,-29507.998169
123.909336,-5732.989995,-36809.520341,-29509.094895
123.913364,-5734.706609,-36809.854127,-29508.713425
123.917392,-5734.611241,-36811.332323,-29508.188904
123.921420,-5736.852376,-36810.187913,-29508.475007
123.925448,-5738.378255,-36810.092546,-29509.667100
123.929476,-5737.949102,-36809.949495,-29509.524049
123.933504,-5736.232488,-36810.330964,-29509.571732
123.937532,-5737.806051,-36811.189271,-29510.811509
123.941560,-5737.329213,-36812.285997,-29511.288346
123.945588,-5735.088078,-36811.618425,-29509.285630
123.949616,-5734.849660,-36810.807802,-29508.188904
123.953644,-5735.755650,-36808.709718,-29508.093537
123.957672,-5735.278813,-36805.324174,-29505.947769
123.961700,-5735.898702,-36804.895020,-29505.423248
123.965728,-5738.330571,-36807.374574,-29507.425965
123.969756,-5740.190237,-36812.667467,-29510.811509
123.973784,-5741.954534,-36817.006685,-29513.720216
123.977812,-5742.383688,-36820.535281,-29515.961351
123.981840,-5741.954534,-36821.727374,-29517.487230
123.985868,-5740.667074,-36818.198778,-29517.582597
123.989896,-5739.808767,-36813.430406,-29517.010393
123.993924,-5740.047185,-36812.667467,-29516.628923
123.997952,-5742.431372,-36813.001253,-29517.534914
124.001980,-5742.812841,-36812.715150,-29517.391863
124.006008,-5743.098944,-36815.814592,-29518.011751
124.010036,-5743.385046,-36817.292788,-29517.296495
124.014064,-5742.192953,-36816.815950,-29516.342821
124.018092,-5739.570348,-36816.863634,-29514.816942
124.022120,-5739.904134,-36815.433123,-29513.910951
124.026148,-5740.667074,-36812.762834,-29512.432756
124.030176,-5741.143911,-36811.761476,-29513.529481
124.034204,-5741.668432,-36811.618425,-29515.246095
124.038232,-5740.762441,-36810.330964,-29516.342821
124.042260,-5740.333288,-36812.095262,-29517.296495
124.046288,-5739.999502,-36813.573457,-29518.345537
124.050316,-5739.188878,-36812.429048,-29516.056718
124.054344,-5738.044469,-36810.903169,-29513.291063
124.058372,-5739.474981,-36809.520341,-29511.288346
124.062400,-5739.427297,-36806.707002,-29508.570374
124.066428,-5738.998144,-36805.276490,-29507.235230
124.070456,-5738.378255,-36807.136155,-29507.616700
124.074484,-5736.947744,-36807.374574,-29506.519974
124.078512,-5734.897344,-36807.231522,-29505.804718
124.082540,-5733.752934,-36806.802369,-29505.613983
124.086568,-5732.656209,-36806.230164,-29504.851044
124.090596,-5733.180730,-36804.084397,-29504.851044
124.094624,-5735.755650,-36803.464508,-29506.138504
124.098652,-5737.806051,-36804.942704,-29507.235230
124.102680,-5737.424581,-36808.328248,-29508.808793
124.106708,-5736.947744,-36807.803727,-29509.380997
124.110736,-5736.184804,-36807.326890,-29509.524049
124.114764,-5736.423223,-36807.231522,-29509.905518
124.118792,-5733.609883,-36804.656602,-29509.094895
124.122820,-5733.133046,-36801.461792,-29506.710709
124.126848,-5733.800618,-36801.604843,-29504.994095
